time,temp,humidity,wind_speed,precip,events,date
12:51 AM,41.0 °F,51%,10.4 mph,N/A,,2014/4/1
1:51 AM,41.0 °F,53%,5.8 mph,N/A,,2014/4/1
2:51 AM,41.0 °F,53%,9.2 mph,N/A,,2014/4/1
3:51 AM,39.9 °F,55%,9.2 mph,N/A,,2014/4/1
4:51 AM,39.9 °F,53%,8.1 mph,N/A,,2014/4/1
5:51 AM,39.0 °F,57%,3.5 mph,N/A,,2014/4/1
6:51 AM,39.0 °F,57%,6.9 mph,N/A,,2014/4/1
7:51 AM,39.9 °F,55%,3.5 mph,N/A,,2014/4/1
8:51 AM,42.1 °F,51%,4.6 mph,N/A,,2014/4/1
9:51 AM,45.0 °F,46%,6.9 mph,N/A,,2014/4/1
10:51 AM,48.9 °F,43%,5.8 mph,N/A,,2014/4/1
11:51 AM,50.0 °F,41%,4.6 mph,N/A,,2014/4/1
12:51 PM,53.1 °F,37%,Calm,N/A,,2014/4/1
1:51 PM,55.0 °F,35%,4.6 mph,N/A,,2014/4/1
2:51 PM,55.9 °F,34%,4.6 mph,N/A,,2014/4/1
3:51 PM,57.9 °F,33%,4.6 mph,N/A,,2014/4/1
4:51 PM,59.0 °F,33%,Calm,N/A,,2014/4/1
5:51 PM,57.9 °F,36%,4.6 mph,N/A,,2014/4/1
6:51 PM,52.0 °F,43%,4.6 mph,N/A,,2014/4/1
7:51 PM,50.0 °F,46%,4.6 mph,N/A,,2014/4/1
8:51 PM,48.9 °F,48%,4.6 mph,N/A,,2014/4/1
9:51 PM,48.0 °F,54%,4.6 mph,N/A,,2014/4/1
10:51 PM,46.0 °F,56%,5.8 mph,N/A,,2014/4/1
11:51 PM,46.0 °F,58%,Calm,N/A,,2014/4/1
12:51 AM,45.0 °F,58%,3.5 mph,N/A,,2014/4/2
1:51 AM,44.1 °F,63%,4.6 mph,N/A,,2014/4/2
2:51 AM,44.1 °F,65%,Calm,N/A,,2014/4/2
3:51 AM,44.1 °F,65%,4.6 mph,N/A,,2014/4/2
4:51 AM,43.0 °F,71%,4.6 mph,N/A,,2014/4/2
5:51 AM,42.1 °F,76%,Calm,N/A,,2014/4/2
6:51 AM,42.1 °F,79%,Calm,N/A,,2014/4/2
8:51 AM,46.0 °F,71%,Calm,N/A,,2014/4/2
9:51 AM,46.0 °F,68%,Calm,N/A,,2014/4/2
10:51 AM,48.0 °F,63%,4.6 mph,N/A,,2014/4/2
11:51 AM,48.0 °F,63%,3.5 mph,N/A,,2014/4/2
12:51 PM,48.0 °F,66%,Calm,N/A,,2014/4/2
1:51 PM,51.1 °F,61%,Calm,N/A,,2014/4/2
2:51 PM,50.0 °F,71%,4.6 mph,N/A,,2014/4/2
3:51 PM,50.0 °F,68%,3.5 mph,N/A,,2014/4/2
4:51 PM,53.1 °F,61%,Calm,N/A,,2014/4/2
5:51 PM,53.1 °F,59%,3.5 mph,N/A,,2014/4/2
6:51 PM,52.0 °F,59%,Calm,N/A,,2014/4/2
7:51 PM,51.1 °F,66%,Calm,N/A,,2014/4/2
8:51 PM,52.0 °F,66%,3.5 mph,N/A,,2014/4/2
9:51 PM,51.1 °F,68%,4.6 mph,N/A,,2014/4/2
10:51 PM,51.1 °F,71%,Calm,N/A,,2014/4/2
11:51 PM,51.1 °F,71%,Calm,N/A,,2014/4/2
12:51 AM,50.0 °F,74%,3.5 mph,N/A,,2014/4/3
1:51 AM,50.0 °F,74%,Calm,N/A,,2014/4/3
2:51 AM,48.9 °F,74%,4.6 mph,N/A,,2014/4/3
3:51 AM,48.9 °F,64%,4.6 mph,N/A,,2014/4/3
4:51 AM,48.0 °F,66%,Calm,N/A,,2014/4/3
5:51 AM,48.0 °F,56%,6.9 mph,N/A,,2014/4/3
6:51 AM,46.9 °F,50%,5.8 mph,N/A,,2014/4/3
7:51 AM,46.9 °F,50%,5.8 mph,N/A,,2014/4/3
8:51 AM,48.0 °F,44%,5.8 mph,N/A,,2014/4/3
9:51 AM,48.9 °F,43%,Calm,N/A,,2014/4/3
10:51 AM,53.1 °F,37%,Calm,N/A,,2014/4/3
11:51 AM,57.0 °F,29%,4.6 mph,N/A,,2014/4/3
12:51 PM,57.9 °F,24%,3.5 mph,N/A,,2014/4/3
1:51 PM,62.1 °F,21%,5.8 mph,N/A,,2014/4/3
2:51 PM,62.1 °F,18%,Calm,N/A,,2014/4/3
3:51 PM,66.9 °F,15%,Calm,N/A,,2014/4/3
4:51 PM,63.0 °F,21%,5.8 mph,N/A,,2014/4/3
5:51 PM,61.0 °F,25%,4.6 mph,N/A,,2014/4/3
6:51 PM,57.9 °F,30%,6.9 mph,N/A,,2014/4/3
7:51 PM,55.0 °F,34%,6.9 mph,N/A,,2014/4/3
8:51 PM,54.0 °F,34%,3.5 mph,N/A,,2014/4/3
9:51 PM,53.1 °F,38%,5.8 mph,N/A,,2014/4/3
10:51 PM,50.0 °F,54%,Calm,0.01 in,Rain,2014/4/3
11:51 PM,46.9 °F,80%,4.6 mph,0.03 in,Rain,2014/4/3
12:51 AM,46.9 °F,80%,3.5 mph,0.03 in,Rain,2014/4/4
1:51 AM,46.0 °F,76%,5.8 mph,0.00 in,Rain,2014/4/4
2:51 AM,45.0 °F,76%,9.2 mph,0.01 in,,2014/4/4
3:51 AM,44.1 °F,76%,4.6 mph,0.00 in,Rain,2014/4/4
4:35 AM,43.0 °F,76%,3.5 mph,0.00 in,,2014/4/4
4:42 AM,43.0 °F,80%,6.9 mph,0.00 in,,2014/4/4
4:51 AM,43.0 °F,80%,Calm,0.00 in,,2014/4/4
5:51 AM,43.0 °F,76%,4.6 mph,N/A,,2014/4/4
6:51 AM,43.0 °F,76%,6.9 mph,0.00 in,Rain,2014/4/4
7:51 AM,43.0 °F,71%,8.1 mph,0.02 in,,2014/4/4
8:51 AM,43.0 °F,74%,8.1 mph,N/A,,2014/4/4
9:29 AM,43.0 °F,76%,8.1 mph,N/A,,2014/4/4
9:51 AM,43.0 °F,76%,8.1 mph,N/A,,2014/4/4
10:51 AM,44.1 °F,65%,12.7 mph,N/A,,2014/4/4
11:51 AM,43.0 °F,74%,9.2 mph,N/A,,2014/4/4
12:51 PM,43.0 °F,68%,11.5 mph,N/A,,2014/4/4
1:51 PM,43.0 °F,71%,9.2 mph,N/A,,2014/4/4
2:51 PM,42.1 °F,76%,8.1 mph,0.00 in,,2014/4/4
3:51 PM,42.1 °F,79%,11.5 mph,N/A,,2014/4/4
4:07 PM,42.1 °F,76%,12.7 mph,N/A,,2014/4/4
4:51 PM,42.1 °F,76%,10.4 mph,N/A,,2014/4/4
5:51 PM,41.0 °F,82%,13.8 mph,N/A,,2014/4/4
6:41 PM,41.0 °F,86%,9.2 mph,0.00 in,Rain,2014/4/4
6:51 PM,41.0 °F,86%,6.9 mph,0.01 in,,2014/4/4
7:31 PM,41.0 °F,86%,6.9 mph,0.01 in,Rain,2014/4/4
7:51 PM,39.9 °F,89%,3.5 mph,0.02 in,,2014/4/4
8:51 PM,41.0 °F,89%,10.4 mph,0.01 in,,2014/4/4
9:15 PM,41.0 °F,89%,4.6 mph,N/A,,2014/4/4
9:51 PM,41.0 °F,89%,6.9 mph,0.00 in,Rain,2014/4/4
10:03 PM,41.0 °F,89%,8.1 mph,0.01 in,,2014/4/4
10:17 PM,41.0 °F,89%,9.2 mph,0.01 in,,2014/4/4
10:51 PM,39.9 °F,89%,11.5 mph,0.01 in,,2014/4/4
11:00 PM,39.9 °F,89%,12.7 mph,N/A,,2014/4/4
11:31 PM,39.9 °F,89%,10.4 mph,N/A,,2014/4/4
11:51 PM,39.9 °F,93%,-,0.04 in,Rain,2014/4/4
12:07 AM,39.9 °F,93%,10.4 mph,0.08 in,Rain,2014/4/5
12:22 AM,39.9 °F,89%,10.4 mph,0.08 in,Rain,2014/4/5
12:51 AM,39.9 °F,89%,11.5 mph,0.09 in,,2014/4/5
1:51 AM,41.0 °F,86%,5.8 mph,N/A,,2014/4/5
2:51 AM,41.0 °F,89%,5.8 mph,N/A,,2014/4/5
3:51 AM,41.0 °F,89%,Calm,N/A,,2014/4/5
4:51 AM,41.0 °F,86%,6.9 mph,N/A,,2014/4/5
5:51 AM,41.0 °F,86%,Calm,N/A,,2014/4/5
6:09 AM,41.0 °F,89%,Calm,N/A,,2014/4/5
6:51 AM,42.1 °F,85%,8.1 mph,N/A,,2014/4/5
7:07 AM,43.0 °F,82%,8.1 mph,N/A,,2014/4/5
7:21 AM,43.0 °F,82%,3.5 mph,N/A,,2014/4/5
7:51 AM,43.0 °F,86%,4.6 mph,N/A,,2014/4/5
8:51 AM,46.9 °F,74%,6.9 mph,N/A,,2014/4/5
9:51 AM,51.1 °F,48%,11.5 mph,N/A,,2014/4/5
10:51 AM,51.1 °F,43%,17.3 mph,N/A,,2014/4/5
11:51 AM,50.0 °F,43%,17.3 mph,N/A,,2014/4/5
12:51 PM,50.0 °F,43%,8.1 mph,N/A,,2014/4/5
1:51 PM,51.1 °F,39%,11.5 mph,N/A,,2014/4/5
2:51 PM,52.0 °F,37%,10.4 mph,N/A,,2014/4/5
3:51 PM,53.1 °F,35%,13.8 mph,N/A,,2014/4/5
4:51 PM,53.1 °F,34%,9.2 mph,N/A,,2014/4/5
5:51 PM,52.0 °F,37%,9.2 mph,N/A,,2014/4/5
6:51 PM,50.0 °F,38%,12.7 mph,N/A,,2014/4/5
7:51 PM,46.9 °F,41%,-,N/A,,2014/4/5
8:51 PM,45.0 °F,40%,11.5 mph,N/A,,2014/4/5
9:51 PM,44.1 °F,40%,4.6 mph,N/A,,2014/4/5
10:51 PM,43.0 °F,43%,6.9 mph,N/A,,2014/4/5
11:51 PM,41.0 °F,45%,6.9 mph,N/A,,2014/4/5
12:51 AM,39.9 °F,47%,4.6 mph,N/A,,2014/4/6
1:51 AM,39.0 °F,49%,4.6 mph,N/A,,2014/4/6
2:51 AM,37.9 °F,51%,3.5 mph,N/A,,2014/4/6
3:51 AM,37.0 °F,52%,8.1 mph,N/A,,2014/4/6
