,date,open,high,low,close,volume
0,Apr 1 2014,1873.96,1885.84,1873.96,1885.52,517337094
1,Apr 2 2014,1886.61,1893.17,1883.79,1890.90,465008732
2,Apr 3 2014,1891.43,1893.80,1882.65,1888.77,486951242
3,Apr 4 2014,1890.25,1897.28,1863.26,1865.09,638969604
4,Apr 7 2014,1863.92,1864.04,1841.48,1845.04,658210321
5,Apr 8 2014,1845.48,1854.95,1837.49,1851.96,552300967
6,Apr 9 2014,1852.64,1872.43,1852.38,1872.18,528286495
7,Apr 10 2014,1872.28,1872.53,1830.87,1833.08,636878418
8,Apr 11 2014,1830.65,1835.07,1814.36,1815.69,662182271
9,Apr 14 2014,1818.18,1834.19,1815.80,1830.61,524945814
10,Apr 15 2014,1831.45,1844.02,1816.29,1842.98,591857217
11,Apr 16 2014,1846.01,1862.31,1846.01,1862.31,536608381
12,Apr 17 2014,1861.73,1869.63,1856.72,1864.85,665681444
13,Apr 21 2014,1865.79,1871.89,1863.18,1871.89,445573609
14,Apr 22 2014,1872.57,1884.89,1872.57,1879.55,492961324
15,Apr 23 2014,1879.32,1879.75,1873.91,1875.39,477805705
16,Apr 24 2014,1881.97,1884.06,1870.24,1878.61,523936662
17,Apr 25 2014,1877.72,1877.72,1859.70,1863.40,526707398
18,Apr 28 2014,1865.00,1877.01,1850.61,1869.43,644490866
19,Apr 29 2014,1870.78,1880.60,1870.78,1878.33,489827927
20,May 1 2014,1884.39,1888.59,1878.04,1883.68,468010160
21,May 2 2014,1885.30,1891.33,1878.50,1881.14,463670006
22,May 5 2014,1879.45,1885.51,1866.77,1884.66,417770456
23,May 6 2014,1883.69,1883.69,1867.72,1867.72,474484454
24,May 7 2014,1868.53,1878.83,1859.79,1878.21,563540793
25,May 8 2014,1877.39,1889.07,1870.05,1875.63,488608986
26,May 9 2014,1875.27,1878.57,1867.02,1878.48,473573782
27,May 12 2014,1880.03,1897.13,1880.03,1896.65,448903761
28,May 13 2014,1896.75,1902.17,1896.06,1897.45,418340875
29,May 14 2014,1897.13,1897.13,1885.77,1888.53,422048317
30,May 15 2014,1888.16,1888.16,1862.36,1870.85,547161731
31,May 16 2014,1871.19,1878.28,1864.82,1877.86,624155555
32,May 19 2014,1876.66,1886.00,1872.42,1885.08,433389990
33,May 20 2014,1884.88,1884.88,1868.14,1872.83,434975819
34,May 21 2014,1873.34,1888.80,1873.34,1888.03,410778045
35,May 22 2014,1888.19,1896.33,1885.39,1892.49,385630413
36,May 23 2014,1893.32,1901.26,1893.32,1900.53,373480792
